Date,Open,High,Low,Close,Volume,Adj Close
2016-05-10,2515.00,2533.95,2496.00,2522.90,579200,2483.876
2016-05-09,2473.40,2518.00,2456.40,2512.55,910600,2473.686
2016-05-06,2465.00,2484.30,2431.00,2473.40,442700,2435.142
2016-05-05,2478.00,2489.95,2463.55,2470.30,623200,2432.09
2016-05-04,2473.90,2494.05,2457.00,2478.00,682400,2439.671
2016-05-03,2525.00,2530.00,2472.00,2478.10,1076500,2439.769
2016-05-02,2529.00,2530.00,2500.00,2526.70,558300,2487.617
2016-04-29,2517.00,2542.00,2510.00,2535.50,1186000,2496.281
2016-04-28,2501.30,2540.00,2498.10,2527.75,2496300,2488.651
2016-04-27,2480.00,2514.60,2475.90,2511.10,924300,2472.259
2016-04-26,2449.00,2493.50,2442.00,2489.80,1277100,2451.288
2016-04-25,2402.30,2457.05,2402.30,2451.25,1133800,2413.334
2016-04-22,2419.00,2435.40,2404.20,2417.05,982000,2379.664
2016-04-21,2451.00,2467.40,2412.20,2424.40,1262800,2386.90
2016-04-20,2534.90,2534.90,2440.00,2450.35,3202500,2412.449
2016-04-19,2519.75,2519.75,2519.75,2519.75,000,2480.775
2016-04-18,2453.00,2553.50,2440.00,2519.75,3560700,2480.775
2016-04-15,2526.20,2526.20,2526.20,2526.20,000,2487.125
2016-04-14,2526.20,2526.20,2526.20,2526.20,000,2487.125
2016-04-13,2530.00,2545.00,2512.50,2526.20,800700,2487.125
2016-04-12,2498.00,2525.00,2488.10,2518.15,651800,2479.20
2016-04-11,2433.00,2517.00,2413.00,2506.65,1200300,2467.877
2016-04-08,2466.00,2473.70,2427.00,2432.05,699700,2394.432
2016-04-07,2480.00,2484.70,2457.00,2470.80,1195400,2432.582
2016-04-06,2470.00,2489.00,2459.35,2481.90,881500,2443.51
2016-04-05,2470.80,2484.90,2442.05,2462.75,745800,2424.657
2016-04-04,2456.00,2488.00,2447.00,2471.25,876100,2433.025
2016-04-01,2505.00,2520.85,2434.10,2453.90,1520700,2415.943
2016-03-31,2478.30,2550.00,2472.15,2520.30,2181900,2481.316
2016-03-30,2470.90,2505.00,2460.00,2489.50,1068200,2450.993
2016-03-29,2478.00,2486.95,2455.00,2469.40,919300,2431.204
2016-03-28,2491.00,2517.15,2461.55,2473.40,1660400,2435.142
2016-03-25,2473.80,2473.80,2473.80,2473.80,000,2435.536
2016-03-24,2473.80,2473.80,2473.80,2473.80,000,2435.536
2016-03-23,2487.90,2487.90,2457.30,2473.80,1139200,2435.536
2016-03-22,2442.00,2485.00,2436.50,2473.10,975900,2434.847
2016-03-21,2426.00,2454.95,2420.00,2446.25,1168400,2408.412
2016-03-18,2360.00,2430.00,2360.00,2425.85,1602000,2388.327
2016-03-17,2334.00,2361.80,2332.00,2352.05,1110500,2315.669
2016-03-16,2315.00,2332.00,2306.90,2327.05,959100,2291.056
2016-03-15,2349.05,2363.50,2320.10,2329.90,811600,2293.861
2016-03-14,2362.00,2398.00,2340.00,2355.00,818300,2318.573
2016-03-11,2340.00,2390.85,2335.00,2365.25,765200,2328.665
2016-03-10,2356.05,2359.85,2314.95,2348.30,830800,2311.977
2016-03-09,2341.00,2369.40,2295.15,2357.25,1008800,2320.788
2016-03-08,2342.10,2367.00,2304.20,2354.30,634000,2317.884
2016-03-07,2357.55,2357.55,2357.55,2357.55,000,2321.084
2016-03-04,2380.00,2380.00,2349.55,2357.55,756400,2321.084
2016-03-03,2336.00,2391.00,2301.00,2373.15,1324100,2336.442
2016-03-02,2305.00,2330.00,2256.25,2318.85,763700,2282.983
2016-03-01,2193.00,2285.10,2162.00,2276.65,999800,2241.435
2016-02-29,2237.00,2237.00,2115.00,2176.80,1095800,2143.13
2016-02-26,2229.70,2256.90,2199.60,2210.50,768700,2176.308
2016-02-25,2219.80,2228.00,2185.65,2212.85,915200,2178.622
2016-02-24,2262.45,2262.45,2201.20,2210.95,829600,2176.751
2016-02-23,2310.25,2319.90,2256.75,2264.00,653400,2228.981
2016-02-22,2320.25,2343.00,2305.00,2315.90,662400,2280.078
2016-02-19,2307.35,2327.00,2305.45,2319.65,439500,2283.77
2016-02-18,2285.00,2319.75,2278.00,2315.85,764500,2280.029
2016-02-17,2265.00,2279.65,2246.40,2275.55,792500,2240.352
2016-02-16,2266.00,2282.00,2243.00,2265.55,794300,2230.507
2016-02-15,2250.00,2306.85,2240.00,2269.15,1239800,2234.051
2016-02-12,2200.00,2243.40,2164.00,2226.60,1086200,2192.159
2016-02-11,2280.00,2289.00,2171.65,2197.95,981200,2163.952
2016-02-10,2275.00,2289.90,2258.10,2268.80,945300,2233.707
2016-02-09,2333.60,2333.60,2255.60,2281.40,1244800,2246.112
2016-02-08,2400.00,2412.05,2347.00,2362.95,531800,2326.40
2016-02-05,2408.10,2439.95,2408.10,2421.95,701400,2384.488
2016-02-04,2421.90,2440.00,2402.00,2420.05,625000,2382.617
2016-02-03,2387.50,2429.90,2360.30,2416.30,654300,2378.925
2016-02-02,2409.00,2433.00,2379.70,2398.10,737700,2361.007
2016-02-01,2391.10,2412.95,2359.00,2402.70,747600,2365.535
2016-01-29,2358.70,2400.00,2335.05,2391.30,1117800,2354.312
2016-01-28,2315.50,2348.90,2308.05,2331.20,1553300,2295.141
2016-01-27,2302.00,2329.95,2281.90,2319.75,813400,2283.869
2016-01-26,2304.65,2304.65,2304.65,2304.65,000,2269.002
2016-01-25,2301.90,2339.00,2291.50,2304.65,698700,2269.002
2016-01-22,2273.00,2302.05,2260.00,2295.75,671500,2260.24
2016-01-21,2285.00,2289.90,2245.75,2254.50,1337700,2219.628
2016-01-20,2273.80,2285.00,2243.00,2280.10,807900,2239.417
2016-01-19,2277.00,2300.00,2268.30,2279.30,483900,2238.631
2016-01-18,2262.00,2291.90,2260.00,2277.65,1106900,2237.01
2016-01-15,2288.85,2291.70,2255.00,2261.10,1634700,2220.756
2016-01-14,2273.00,2298.90,2250.00,2278.80,1371000,2238.14
2016-01-13,2317.00,2327.00,2255.10,2279.20,2373000,2238.533
2016-01-12,2362.70,2365.00,2301.60,2327.05,1741200,2285.529
2016-01-11,2382.50,2384.00,2348.85,2362.35,1465100,2320.199
2016-01-08,2385.00,2407.35,2372.50,2397.60,953700,2354.82
2016-01-07,2370.00,2382.90,2360.00,2371.25,1599700,2328.94
2016-01-06,2350.20,2386.15,2350.20,2381.60,1326600,2339.106
2016-01-05,2385.00,2386.60,2341.00,2348.95,1339000,2307.038
2016-01-04,2410.15,2414.00,2366.05,2369.60,935000,2327.32
2016-01-01,2439.00,2439.00,2412.25,2416.40,356100,2373.285
2015-12-31,2415.75,2448.50,2407.50,2436.85,620100,2393.37
2015-12-30,2453.05,2459.00,2412.30,2418.30,802800,2375.151
2015-12-29,2458.35,2465.30,2445.75,2455.80,854200,2411.982
2015-12-28,2428.00,2466.40,2420.20,2462.70,1852000,2418.759
2015-12-25,2434.25,2434.25,2434.25,2434.25,000,2390.816
2015-12-24,2421.00,2438.20,2404.00,2434.25,421500,2390.816
2015-12-23,2415.00,2435.00,2410.55,2425.80,424900,2382.517
2015-12-22,2440.00,2440.00,2400.00,2405.05,780400,2362.137
2015-12-21,2419.95,2450.00,2406.85,2446.40,805000,2402.749
2015-12-18,2420.00,2434.20,2400.65,2416.80,1512400,2373.678
2015-12-17,2415.00,2445.00,2393.35,2439.75,809400,2396.218
2015-12-16,2384.00,2414.50,2384.00,2408.40,717900,2365.428
2015-12-15,2378.45,2385.00,2363.05,2375.85,567900,2333.458
2015-12-14,2335.20,2387.00,2330.60,2378.45,1359200,2336.012
2015-12-11,2383.00,2391.95,2363.25,2386.00,826100,2343.427
2015-12-10,2369.00,2391.20,2352.00,2384.55,861900,2342.003
2015-12-09,2337.90,2372.80,2320.00,2367.65,2641400,2325.405
2015-12-08,2319.40,2349.00,2317.30,2329.00,569900,2287.444
2015-12-07,2332.20,2343.90,2315.25,2319.80,691300,2278.409
2015-12-04,2340.00,2347.30,2321.10,2328.40,623000,2286.855
2015-12-03,2360.00,2373.00,2347.00,2350.75,1141600,2308.806
2015-12-02,2378.00,2378.10,2346.50,2365.20,820100,2322.998
2015-12-01,2362.90,2378.05,2357.05,2361.90,860900,2319.757
2015-11-30,2365.00,2391.25,2350.15,2373.55,2050000,2331.199
2015-11-27,2348.00,2359.45,2332.50,2353.35,868600,2311.36
2015-11-26,2377.90,2382.40,2337.85,2345.55,1457600,2303.699
2015-11-25,2367.95,2367.95,2367.95,2367.95,000,2325.699
2015-11-24,2380.05,2392.45,2365.50,2367.95,499300,2325.699
2015-11-23,2405.30,2413.40,2382.25,2391.05,544000,2348.387
2015-11-20,2366.50,2423.55,2361.95,2398.35,1006000,2355.557
2015-11-19,2365.35,2381.60,2352.00,2362.55,933400,2320.396
2015-11-18,2388.90,2388.90,2346.00,2351.45,760100,2309.494
2015-11-17,2380.50,2398.45,2375.00,2390.55,992500,2347.896
2015-11-16,2390.00,2390.00,2356.00,2374.60,1021700,2332.231
2015-11-13,2438.05,2438.05,2386.55,2397.40,1371600,2354.624
2015-11-12,2458.15,2458.15,2458.15,2458.15,000,2414.29
2015-11-11,2458.15,2458.15,2458.15,2458.15,000,2414.29
2015-11-10,2472.95,2477.00,2450.00,2458.15,680900,2414.29
2015-11-09,2495.00,2502.75,2468.60,2471.35,1010700,2427.255
2015-11-06,2492.00,2518.25,2483.45,2505.75,454000,2461.041
2015-11-05,2530.80,2534.95,2480.00,2482.65,798000,2438.353
2015-11-04,2545.00,2547.20,2520.00,2533.80,495700,2488.59
2015-11-03,2528.00,2547.80,2518.50,2543.45,682400,2498.068
2015-11-02,2500.00,2522.80,2487.55,2517.35,659600,2472.434
2015-10-30,2500.00,2511.90,2485.00,2495.20,758300,2450.679
2015-10-29,2533.55,2535.40,2490.05,2495.35,1565100,2450.826
2015-10-28,2510.05,2533.55,2510.05,2529.10,627600,2483.974
2015-10-27,2530.05,2544.90,2520.35,2531.10,765200,2485.938
2015-10-26,2549.00,2549.00,2515.10,2536.55,707300,2491.291
2015-10-23,2548.00,2548.00,2527.30,2537.15,1167600,2491.88
2015-10-22,2530.00,2530.00,2530.00,2530.00,000,2484.858
2015-10-21,2535.00,2542.00,2522.25,2530.00,964800,2484.858
2015-10-20,2496.25,2530.00,2495.60,2526.75,1347500,2476.264
2015-10-19,2490.00,2494.95,2455.85,2488.75,1565300,2439.023
2015-10-16,2480.90,2492.00,2470.00,2472.00,1166900,2422.608
2015-10-15,2490.00,2503.50,2465.00,2467.75,1607800,2418.443
2015-10-14,2548.00,2548.00,2480.00,2483.70,4168500,2434.074
2015-10-13,2602.80,2612.00,2567.60,2598.55,3089800,2546.63
2015-10-12,2655.00,2660.35,2587.00,2592.60,1227900,2540.799
2015-10-09,2650.50,2650.60,2608.00,2629.65,1124800,2577.108
2015-10-08,2670.00,2678.35,2620.00,2633.80,1178700,2581.175
2015-10-07,2693.95,2717.00,2646.95,2653.95,1032700,2600.923
2015-10-06,2725.00,2726.00,2684.00,2700.00,1989700,2646.053
2015-10-05,2652.70,2770.00,2652.70,2711.65,2403600,2657.47
2015-10-02,2644.60,2644.60,2644.60,2644.60,000,2591.76
2015-10-01,2599.00,2649.95,2592.20,2644.60,1417200,2591.76
2015-09-30,2643.70,2643.70,2570.95,2588.05,1684100,2536.339
2015-09-29,2583.35,2634.00,2569.85,2588.25,1662900,2536.535
2015-09-28,2594.00,2619.00,2579.50,2593.70,1183400,2541.876
2015-09-25,2580.40,2580.40,2580.40,2580.40,000,2528.842
2015-09-24,2535.50,2590.00,2529.90,2580.40,1177100,2528.842
2015-09-23,2534.30,2557.75,2512.60,2532.65,614100,2482.046
2015-09-22,2557.50,2572.40,2490.00,2526.80,1040600,2476.313
2015-09-21,2550.00,2557.10,2533.20,2551.05,554400,2500.079
2015-09-18,2565.00,2586.00,2539.00,2551.25,1227600,2500.275
2015-09-17,2550.35,2550.35,2550.35,2550.35,000,2499.393
2015-09-16,2555.00,2565.00,2541.05,2550.35,878400,2499.393
2015-09-15,2551.65,2558.90,2536.00,2537.25,689900,2486.554
2015-09-14,2565.00,2565.00,2543.00,2551.65,794600,2500.667
2015-09-11,2546.50,2568.40,2540.60,2552.00,796300,2501.01
2015-09-10,2542.00,2578.50,2527.00,2545.40,1332900,2494.541
2015-09-09,2562.95,2574.00,2544.00,2549.75,1022500,2498.805
2015-09-08,2545.00,2564.10,2523.50,2540.30,893800,2489.543
2015-09-07,2553.00,2559.95,2532.70,2539.75,879500,2489.004
2015-09-04,2611.40,2614.90,2539.15,2547.45,1213100,2496.551
2015-09-03,2596.10,2615.00,2576.25,2605.60,1132500,2553.539
2015-09-02,2559.70,2620.45,2548.00,2591.80,1882900,2540.014
