Year_Month_Day,URL
20080910,"http://timesofindia.indiatimes.com/2008/9/10/archivelist/year-2008,month-9,starttime-39701.cms"
20080911,"http://timesofindia.indiatimes.com/2008/9/11/archivelist/year-2008,month-9,starttime-39702.cms"
20080912,"http://timesofindia.indiatimes.com/2008/9/12/archivelist/year-2008,month-9,starttime-39703.cms"
20080913,"http://timesofindia.indiatimes.com/2008/9/13/archivelist/year-2008,month-9,starttime-39704.cms"
20080914,"http://timesofindia.indiatimes.com/2008/9/14/archivelist/year-2008,month-9,starttime-39705.cms"
20080915,"http://timesofindia.indiatimes.com/2008/9/15/archivelist/year-2008,month-9,starttime-39706.cms"
20080916,"http://timesofindia.indiatimes.com/2008/9/16/archivelist/year-2008,month-9,starttime-39707.cms"
20080917,"http://timesofindia.indiatimes.com/2008/9/17/archivelist/year-2008,month-9,starttime-39708.cms"
20080918,"http://timesofindia.indiatimes.com/2008/9/18/archivelist/year-2008,month-9,starttime-39709.cms"
20080919,"http://timesofindia.indiatimes.com/2008/9/19/archivelist/year-2008,month-9,starttime-39710.cms"
20080920,"http://timesofindia.indiatimes.com/2008/9/20/archivelist/year-2008,month-9,starttime-39711.cms"
20080921,"http://timesofindia.indiatimes.com/2008/9/21/archivelist/year-2008,month-9,starttime-39712.cms"
20080922,"http://timesofindia.indiatimes.com/2008/9/22/archivelist/year-2008,month-9,starttime-39713.cms"
20080923,"http://timesofindia.indiatimes.com/2008/9/23/archivelist/year-2008,month-9,starttime-39714.cms"
20080924,"http://timesofindia.indiatimes.com/2008/9/24/archivelist/year-2008,month-9,starttime-39715.cms"
20080925,"http://timesofindia.indiatimes.com/2008/9/25/archivelist/year-2008,month-9,starttime-39716.cms"
20080926,"http://timesofindia.indiatimes.com/2008/9/26/archivelist/year-2008,month-9,starttime-39717.cms"
20080927,"http://timesofindia.indiatimes.com/2008/9/27/archivelist/year-2008,month-9,starttime-39718.cms"
20080928,"http://timesofindia.indiatimes.com/2008/9/28/archivelist/year-2008,month-9,starttime-39719.cms"
20080929,"http://timesofindia.indiatimes.com/2008/9/29/archivelist/year-2008,month-9,starttime-39720.cms"
20080930,"http://timesofindia.indiatimes.com/2008/9/30/archivelist/year-2008,month-9,starttime-39721.cms"
20081001,"http://timesofindia.indiatimes.com/2008/10/1/archivelist/year-2008,month-10,starttime-39722.cms"
20081002,"http://timesofindia.indiatimes.com/2008/10/2/archivelist/year-2008,month-10,starttime-39723.cms"
20081003,"http://timesofindia.indiatimes.com/2008/10/3/archivelist/year-2008,month-10,starttime-39724.cms"
20081004,"http://timesofindia.indiatimes.com/2008/10/4/archivelist/year-2008,month-10,starttime-39725.cms"
20081005,"http://timesofindia.indiatimes.com/2008/10/5/archivelist/year-2008,month-10,starttime-39726.cms"
20081006,"http://timesofindia.indiatimes.com/2008/10/6/archivelist/year-2008,month-10,starttime-39727.cms"
20081007,"http://timesofindia.indiatimes.com/2008/10/7/archivelist/year-2008,month-10,starttime-39728.cms"
20081008,"http://timesofindia.indiatimes.com/2008/10/8/archivelist/year-2008,month-10,starttime-39729.cms"
20081009,"http://timesofindia.indiatimes.com/2008/10/9/archivelist/year-2008,month-10,starttime-39730.cms"
20081010,"http://timesofindia.indiatimes.com/2008/10/10/archivelist/year-2008,month-10,starttime-39731.cms"
20081011,"http://timesofindia.indiatimes.com/2008/10/11/archivelist/year-2008,month-10,starttime-39732.cms"
20081012,"http://timesofindia.indiatimes.com/2008/10/12/archivelist/year-2008,month-10,starttime-39733.cms"
20081013,"http://timesofindia.indiatimes.com/2008/10/13/archivelist/year-2008,month-10,starttime-39734.cms"
20081014,"http://timesofindia.indiatimes.com/2008/10/14/archivelist/year-2008,month-10,starttime-39735.cms"
20081015,"http://timesofindia.indiatimes.com/2008/10/15/archivelist/year-2008,month-10,starttime-39736.cms"
20081016,"http://timesofindia.indiatimes.com/2008/10/16/archivelist/year-2008,month-10,starttime-39737.cms"
20081017,"http://timesofindia.indiatimes.com/2008/10/17/archivelist/year-2008,month-10,starttime-39738.cms"
20081018,"http://timesofindia.indiatimes.com/2008/10/18/archivelist/year-2008,month-10,starttime-39739.cms"
20081019,"http://timesofindia.indiatimes.com/2008/10/19/archivelist/year-2008,month-10,starttime-39740.cms"
20081020,"http://timesofindia.indiatimes.com/2008/10/20/archivelist/year-2008,month-10,starttime-39741.cms"
20081021,"http://timesofindia.indiatimes.com/2008/10/21/archivelist/year-2008,month-10,starttime-39742.cms"
20081022,"http://timesofindia.indiatimes.com/2008/10/22/archivelist/year-2008,month-10,starttime-39743.cms"
20081023,"http://timesofindia.indiatimes.com/2008/10/23/archivelist/year-2008,month-10,starttime-39744.cms"
20081024,"http://timesofindia.indiatimes.com/2008/10/24/archivelist/year-2008,month-10,starttime-39745.cms"
20081025,"http://timesofindia.indiatimes.com/2008/10/25/archivelist/year-2008,month-10,starttime-39746.cms"
20081026,"http://timesofindia.indiatimes.com/2008/10/26/archivelist/year-2008,month-10,starttime-39747.cms"
20081027,"http://timesofindia.indiatimes.com/2008/10/27/archivelist/year-2008,month-10,starttime-39748.cms"
20081028,"http://timesofindia.indiatimes.com/2008/10/28/archivelist/year-2008,month-10,starttime-39749.cms"
20081029,"http://timesofindia.indiatimes.com/2008/10/29/archivelist/year-2008,month-10,starttime-39750.cms"
20081030,"http://timesofindia.indiatimes.com/2008/10/30/archivelist/year-2008,month-10,starttime-39751.cms"
20081031,"http://timesofindia.indiatimes.com/2008/10/31/archivelist/year-2008,month-10,starttime-39752.cms"
20081101,"http://timesofindia.indiatimes.com/2008/11/1/archivelist/year-2008,month-11,starttime-39753.cms"
20081102,"http://timesofindia.indiatimes.com/2008/11/2/archivelist/year-2008,month-11,starttime-39754.cms"
20081103,"http://timesofindia.indiatimes.com/2008/11/3/archivelist/year-2008,month-11,starttime-39755.cms"
